Keywords,Utterances,Response
"guitar, string, acoustic,",i want a guitar ,"We have acoustic guitars starting from Ksh 5,000."
"piano, keyboard, keys,",i need a piano keyboard,"Keyboards start from Ksh 12,000 depending on model."
"drum, percussion, set,",how much is a drum set,"Drum sets range from Ksh 15,000 to Ksh 80,000."
"violin, string, ",i want a violin,"Violins are available from Ksh 8,000."
"keyboard, electric, piano,",i need an electric piano keyboard,"Electric keyboards start from Ksh 18,000."
"trumpet, brass, horn,",how much is a trumpet horn,"Trumpets cost around Ksh 10,000 to Ksh 35,000."
"saxophone, jazz, brass,",i want a saxophone jazz instrument,"Saxophones start from Ksh 25,000."
"flute, woodwind, pipe,",i need a flute woodwind,"Flutes are available from Ksh 3,000."
"clarinet, woodwind, reed,",how much is a clarinet reed instrument,"Clarinets cost around Ksh 12,000."
"trombone, brass, slide,",i want a trombone brass instrument,"Trombones start from Ksh 20,000."
"tuba, bass, ",how much is a tuba  instrument,"Tubas cost from Ksh 40,000 and above."
"drumsticks, percussion, sticks,",i need drumsticks percussion,"Drumsticks cost Ksh 500 to Ksh 1,500."
"guitar, strings, nylon,",i want guitar strings nylon,Guitar strings cost around Ksh 800.
"microphone, sound, recording,",i need a microphone recording device,"Microphones start from Ksh 2,500."
"amplifier, sound, loud,",how much is an amplifier speaker,"Amplifiers range from Ksh 8,000."
"headphones, audio, listening,",i want headphones for listening,"Headphones start from Ksh 1,500."
"music, stand, holder, notes,",i need a music stand for notes,"Music stands cost around Ksh 2,000."
"keyboard, stand, support,",i want a keyboard stand support,"Keyboard stands cost Ksh 3,000."
"drum, pedal, bass, foot,",how much is a drum pedal,"Drum pedals cost around Ksh 2,500."
"guitar, strap, holder,",i need a guitar strap holder,"Guitar straps cost Ksh 300–1,000."
"instrument, case, box,",i want an instrument case box,"Cases start from Ksh 2,000."
"speaker, sound, system,",how much is a speaker system,"Speakers range from Ksh 5,000 and above."
"studio, recording, gear,",i need studio recording gear,"Studio kits start from Ksh 20,000."
"band, instruments, setup,",i want band instruments setup,Band setups depend on instruments selected.
"music, shop, offer,",do you have music shop offers,"Yes, we have weekly discounts and bundles."
"guitar lessons, chords, beginner","how to play guitar, i want guitar lessons, how do i learn guitar chords","Learn guitar chords and songs, Ksh 1,000/week, good for basics."
"piano lessons, keys, beginner","how to learn piano keys, i want piano lessons, how do i start piano","Piano training for keys and notes, Ksh 1,200/week, good for music understanding."
"drum lessons, rhythm, beats","how to play drum rhythm, i want drum lessons, how do I learn drums","Drum practice for beats and rhythm, Ksh 1,000/week, good for timing."
"violin lessons, bow, strings","how to play violin, i want violin lessons, how do I use violin bow","Violin training for bow and strings, Ksh 1,200/week, good for control."
"keyboard lessons, notes, practice","how to play keyboard notes, i want keyboard lessons, how do I learn keyboard","Keyboard practice for notes and skills, Ksh 1,000/week, good for modern music."
"trumpet lessons, blowing, brass","how to play trumpet blowing, i want trumpet lessons, how do I play trumpet","Trumpet training for blowing sound, Ksh 1,500/week, good for breathing control."
"saxophone lessons, jazz, sound","how to play saxophone jazz, i want saxophone lessons, how do I learn saxophone","Saxophone jazz learning, Ksh 2,000/week, good for expression."
"flute lessons, blowing, air","how to play flute blowing air, i want flute lessons, how do I play flute","Flute practice for air control, Ksh 1,000/week, good for breath work."
"clarinet lessons, reed, sound","how to play clarinet reed sound, i want clarinet lessons, how do I play clarinet","Clarinet training for reed sound, Ksh 1,200/week, good for tone."
"trombone lessons, slide, notes","how to play trombone slide notes, i want trombone lessons, how do I use trombone","Trombone slide lessons, Ksh 1,500/week, good for pitch control."
"tuba lessons, bass, sound","how to play tuba bass sound, i want tuba lessons, how do I play tuba","Tuba bass training, Ksh 2,000/week, good for band support."
"music lessons, basics, beginner","music basics, i want music lessons, what are music basics","Music basics for beginners, Ksh 1,000/week, good for starting out."
"practice lessons, daily, routine","how to practice music daily, i want practice lessons, how do I practice music","Daily practice sessions, Ksh 800/week, good for improvement."
"music lessons, theory, notes","how to learn music theory, i want music theory lessons, how do I understand music theory","Music theory learning, Ksh 1,200/week, good for understanding music."
"song lessons, playing, skills","how to learn songs, i want song lessons, how do I learn songs","Song breakdown lessons, Ksh 1,000/week, good for performance."
"reading lessons, sheet, notes","how to read sheet music, i want reading lessons, how do I read sheet music","Sheet music reading, Ksh 1,000/week, good for reading skills."
"band lessons, group, playing","how to join band lessons, i want band lessons, how does band practice work","Group band training, Ksh 1,500/week, good for teamwork."
"advanced , skills, music","how to improve music skills, i want advanced lessons, how do I improve music skills","Advanced skill lessons, Ksh 2,000/week, good for mastery."
"kids , small, learners","do you teach kids music, i want kids lessons, are there kids music lessons","Kids music learning, Ksh 800/week, good for beginners."
"online lessons, digital, class","can I learn music online, i want online lessons, how do online music classes work","Online music classes, Ksh 1,000/week, good for flexibility."
"studio lessons, recording, sound","how to do studio recording, i want studio lessons, how do I record music","Studio recording training, Ksh 2,500/week, good for production."
"stage lessons, performance, show","how to perform on stage, i want stage lessons, how do I perform on stage","Stage performance coaching, Ksh 2,000/week, good for confidence."
"improve lessons, playing, skills","how to master an instrument, i want instrument lessons, how do I master an instrument","Instrument mastery training, Ksh 2,000/week, good for skill growth."
"practice lessons, timing, rhythm","I want to practice more, extra practice lessons for you","Rhythm practice training, Ksh 800/week, good for timing."
